title,description,directions
TITLE:  BLOODY MARY,"DESCRIPTION: Say  Bloody  Mary  three  times  before  bedtime. When  you
wake up in the morning, be sure to have one.

1 1/2 ounces vodka (or peppered vodka for spice)
3 ounces tomato juice
1/2 ounce lemon juice 
Dash or two Tabasco sauce
Dash or two Worcestershire sauce
Pinch of celery salt
Pinch of pepper
Dab of horseradish ","DIRECTIONS:  Chill a cocktail shaker.
 Add vodka, tomato juice, lemon juice, Tabasco

sauce, and Worcestershire sauce.

 Add salt, pepper, and horseradish to taste.
 Pour into a chilled collins glass or beer mug.
 Garnish with a lime slice or a celery stalk. Also

preferred as garnishes: pickled green beans, okra
pods, and garlic stuffed olives.

(See page 52 for original Bloody Mary mix.)"
TITLE:  PEACH FUZZ,"DESCRIPTION: Soft and downy, the perfect serum for getting the dish on
your brother’s bride.

3 ripened peaches
6 ounces pink lemonade
6 ounces vodka
Ice cubes to fill blender","DIRECTIONS:  Put peaches, pink lemonade, vodka, and ice in a

blender.

 Blend until iced is crushed.
 Place in freezer for four hours.
 Scoop into highball glasses.
(Serves 6)"
TITLE:  VODKA MINT,"DESCRIPTION: Caution: An oft-used tool for sweet-faced motherly inter-
rogators.

6 ounces frounceen limeade
6 ounces vodka
17 mint leaves","DIRECTIONS:  Combine limeade, vodka, and mint leaves with

enough ice to fill blender.

 Blend at highest speed until slushy. Pour into

cocktail glasses.

 Top with thin slices of lime and mint leaves.
(Serves 4)"
TITLE:  BLOODY BULL,"DESCRIPTION: For  the  morning  after. Solves  problems  from  last  night’s
out-of-control bachelorette party.

10 1/2 ounces consommé 
24 ounces tomato juice
3 tablespoons lemon juice
2 tablespoons Worcestershire sauce
1 teaspoon celery salt
1 teaspoon garlic salt
2 teaspoons salt
9 ounces vodka","DIRECTIONS:  Mix all ingredients in a pitcher.
 Serve in highball glasses with ice.
(Serves 6)"
TITLE:  MILK PUNCH,"DESCRIPTION: A truly  old-school  beverage—served  at  weddings  and
brunches through the decades.

8 ounces cold milk
1/2 ounce bourbon 
3/4 ounce crème de cacao","DIRECTIONS:  Fill cocktail shaker with ice.
 Add milk, bourbon, and crème de cacao.
 Shake.
 Pour into a goblet."
TITLE:  COFFEE FLIP,"DESCRIPTION: Wow. This makes the cobwebs run screaming.

1 ounce cognac
1 ounce tawny port
1 small egg
1 teaspoon sugar","DIRECTIONS:  Fill cocktail shaker with ice.
 Add cognac, port, egg, and sugar.
 Shake.
 Strain into a chilled delmonico glass.
 Dust with nutmeg."
TITLE:  BRANDIED FLIP,"DESCRIPTION: Tastes so good you’ll do cartwheels and somersaults until
four.

1 ounce brandy
1 ounce apricot flavored brandy
1 small egg
1 teaspoon sugar","DIRECTIONS:  Fill cocktail shaker with ice.
 Add brandies, egg, and sugar.
 Shake.
 Strain into a chilled delmonico glass.
 Dust with nutmeg."
TITLE:  MADEIRA MINT FLIP,"DESCRIPTION: Another Madeira, my dear-a?

1 1/2 ounces Madeira 
1 ounce chocolate mint liqueur
1 small egg
1 teaspoon sugar","DIRECTIONS:  Fill cocktail shaker with ice.
 Add Madeira, liqueur, egg, and sugar.
 Shake.
 Strain into a chilled delmonico glass.
 Dust with nutmeg."
TITLE:  POLYNESIAN PICK ME UP,"DESCRIPTION: No, this does not involve carting a virgin off to the volcano.
Your fate is much more pleasant.

4 ounces pineapple juice
1 1/2 ounces vodka 
1/2 teaspoon curry powder 
1/2 teaspoon lemon juice 
1 tablespoon cream
2 dashes Tabasco sauce
4 ounces crushed ice","DIRECTIONS:  Pour all ingredients into a blender.
 Blend for 10 seconds on high speed.
 Pour into a chilled old-fashioned glass.
 Dust with cayenne pepper."
TITLE:  CITRONELLA COOLER,"DESCRIPTION: For a guaranteed mosquito-free brunch.

1 ounce citrus vodka 
Dash of lime juice 
2 ounces chilled lemonade
1 ounce chilled cranberry juice","DIRECTIONS:  Build vodka, lime juice, lemonade, and cranberry

juice in a collins glass.

 Top with a squeeze of fresh lime."
TITLE:  MAY BLOSSOM FIZZ,"DESCRIPTION: As sweetly intoxicating as springtime flowers. Your guests
just may frolic around the May Pole.

1 teaspoon grenadine
1/2 ounce lemon juice 
1 ounce club soda
2 ounces Punsch","DIRECTIONS:  Fill cocktail shaker with ice.
 Add grenadine, lemon juice, club soda, and Punsch.
 Shake.
 Strain into an old-fashioned glass.
 Top with soda."
TITLE:  SANGRIA,"DESCRIPTION: Perfect setting: pitcher for two, Melrose Avenue, a night of
endless possibilities.

1/5 dry red wine
1 ripe peach
6 slices lemon
1/2 ounce cognac 
1 ounce triple sec
1 ounce maraschino liqueur
1 tablespoon sugar
1 whole orange
6 ounces chilled club soda","DIRECTIONS:  Pour wine into a glass pitcher.
 Add peeled and sliced peach and lemon slices.
 Add cognac, triple sec, maraschino liqueur, and

sugar.

 Stir to dissolve sugar.
 Carefully place the orange in the pitcher. (See below.)
 Let mixture marinate at room temperature for at

least 1 hour.

 Add soda and 1 tray of ice cubes to pitcher.
 Stir.
 Pour into wine goblets.
(Serves 6) 

(For  orange:  cut  orange  peel  into  one  long  strip,
beginning  at  stem  end  and  continuing  until  spiral
reaches bottom of fruit. Make sure to expose the fruit
while cutting. Leave peel attached to orange bottom
to suspend fruit in pitcher.) "
